Series_Name	Number_of_episodes	Number_of_seasons	Genre	Year_released	End_year	Avg_runtime	Rating	Number_of_raters	Number_of_reviews	Number_of_critics_review
The New Batman Adventures	24	2	Animation	1997	1999	30	8.5	13911	34	6
Africa	7	1	Documentary	2013	NA	51.42857143	9	13757	10	6
The Civil War	9	1	Documentary	1990	NA	75.55555556	9	13263	84	14
Mob Psycho 100	25	2	Animation	2016	NA	24	8.5	13027	50	7
Chef's Table	30	6	Documentary	2015	NA	50	8.6	12976	34	11
Rurouni Kenshin: Trust and Betrayal	4	1	Animation	1999	NA	29.5	8.6	12920	51	15
Ramayan	78	1	Adventure	1987	1988	30	9.1	12343	177	1
The Eric Andre Show	53	5	Comedy	2012	NA	11	8.6	12317	53	2
Letterkenny	54	8	Comedy	2016	NA	30	8.7	12316	149	2
Yes Minister	22	3	Comedy	1980	1984	60	8.6	12290	38	3
Mahabharat	94	1	Adventure	1988	1990	45	8.9	11885	108	5
Long Way Round	10	1	Documentary	2004	2010	31.5	8.6	11790	52	6
Content Cop	13	3	Documentary	2015	NA	20	9	11789	60	NA
Homicide: Life on the Street	122	7	Crime	1993	1999	60	8.5	11374	94	25
The Defiant Ones	4	1	Documentary	2017	NA	60	8.5	11185	26	6
Delhi Crime	7	1	Crime	2019	NA	50	8.5	10815	184	7
From the Earth to the Moon	12	1	Action	1998	NA	60	8.6	10792	67	5
Detectorists	19	3	Comedy	2014	2017	30	8.6	10375	119	11
The Return of Sherlock Holmes	11	2	Crime	1986	1988	60	8.7	10312	18	4
Vinland Saga	24	1	Animation	2019	NA	24	8.8	10228	110	12
Guardian: The Lonely and Great God	16	1	Comedy	2016	2017	60	8.6	10045	120	1
Justice League Unlimited	39	3	Animation	2004	2006	23	8.7	9947	13	NA
Apocalypse: La 2?e guerre mondiale	6	1	Documentary	2009	NA	52	9	9452	26	5
Brass Eye	7	2	Comedy	1997	2001	25	8.6	9444	23	3
"Yes, Prime Minister"	16	2	Comedy	1986	1987	30	8.6	9442	15	1
The Bugs Bunny/Road Runner Hour	2	2	Animation	1968	1978	55	8.5	9206	5	5
Crash Landing on You	19	1	Comedy	2019	2020	70	8.7	9164	306	3
My Brilliant Friend	17	3	Drama	2018	NA	50	8.5	9046	106	21
Senke nad Balkanom	20	2	Crime	2017	NA	60	9	8738	48	1
Clannad: After Story	25	1	Animation	2008	2009	24	8.6	8502	43	4
Umbre	21	3	Crime	2014	NA	45	8.8	8404	45	6
El Chavo del Ocho	328	7	Comedy	1972	1983	30	8.6	8374	19	1
The Untold History of the United States	12	1	Documentary	2012	2013	58	8.6	8154	104	12
Haikyuu!!	87	4	Animation	2014	2020	24	8.7	7997	49	4
Mind Your Language	42	4	Comedy	1977	1986	30	8.7	7446	53	2
The Beatles Anthology	8	1	Documentary	1995	1996	75	9.1	7249	36	2
MisteRogers Neighborhood	896	31	Family	1968	2001	30	8.6	7239	50	2
Critical Role	255	15	Adventure	2015	NA	180	9.3	7123	88	NA
The Bureau	50	5	Drama	2015	NA	52	8.7	7043	66	19
The Memoirs of Sherlock Holmes	6	1	Crime	1994	NA	51	8.7	7005	12	1
Arany?et	24	3	Action	2015	2018	60	8.8	6923	26	1
Satyamev Jayate	26	3	Documentary	2012	NA	65	8.6	6676	19	NA
One Strange Rock	11	2	Documentary	2018	NA	47	8.8	6332	96	32
GTO	43	1	Animation	1999	2000	24	8.6	6072	13	6
Vratice se rode	25	1	Comedy	2007	2008	55	8.9	6029	15	1
It's Okay to Not Be Okay	16	1	Comedy	2020	NA	70	8.9	5828	365	5
The Great British Baking Show	137	11	Reality-TV	2010	NA	60	8.6	5826	60	14
Hilda	17	2	Animation	2018	2020	24	8.6	5704	99	10
Still Game	63	9	Comedy	2002	2019	30	8.9	5577	59	NA
How the Universe Works	77	8	Documentary	2010	NA	60	8.9	5575	34	1
Ikinci Bahar	37	3	Comedy	1998	2001	48	8.6	5388	6	NA
Bose: Dead/Alive	9	1	Biography	2017	NA	20	8.9	5339	74	7
The Adventures of Sherlock Holmes and Dr. Watson: The Hound of the Baskervilles	2	1	Adventure	1981	NA	77	8.7	5289	16	6
Hunter x Hunter	62	3	Animation	1999	2001	23	8.6	5243	18	2
The Universe	90	8	Documentary	2007	NA	NA	8.8	5010	23	24
